player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deandre Ayton,aytonde01,2026,48,446.0,56.0,2026-02-22,,,BOS,"L, 89-111",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,,2.0,5.0,7.0,1.0,1.0,1.0,1.0,4.0,4.0,3.3,-15.0
Deandre Ayton,aytonde01,2026,49,447.0,57.0,2026-02-24,,,ORL,"L, 109-110",*,,8.0,11.0,0.727,0.0,0.0,8.0,11.0,0.727,0.727,5.0,5.0,1.0,2.0,11.0,13.0,0.0,1.0,0.0,2.0,3.0,21.0,19.0,-2.0
Deandre Ayton,aytonde01,2026,50,448.0,58.0,2026-02-26,,,PHO,"L, 110-113",*,,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.5,-24.0
Deandre Ayton,aytonde01,2026,51,449.0,59.0,2026-02-28,,,GSW,"W, 129-101",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,2.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.3,14.0
Deandre Ayton,aytonde01,2026,52,450.0,60.0,2026-03-01,,,SAC,"W, 128-104",*,,6.0,6.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,12.0,14.5,2.0
Deandre Ayton,aytonde01,2026,53,451.0,61.0,2026-03-03,,,NOP,"W, 110-101",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,1.0,1.0,1.0,3.0,5.0,8.0,1.0,0.0,2.0,2.0,4.0,13.0,11.9,-7.0
Deandre Ayton,aytonde01,2026,54,452.0,62.0,2026-03-05,,,DEN,"L, 113-120",*,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,-13.0
Deandre Ayton,aytonde01,2026,55,453.0,64.0,2026-03-08,,,NYK,"W, 110-97",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,2.0,0.0,2.0,6.0,8.2,3.0
Deandre Ayton,aytonde01,2026,56,454.0,65.0,2026-03-10,,,MIN,"W, 120-106",*,,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,0.0,2.0,0.0,5.0,7.0,12.0,2.0,1.0,0.0,0.0,4.0,14.0,14.7,10.0
Deandre Ayton,aytonde01,2026,57,455.0,66.0,2026-03-12,,,CHI,"W, 142-130",*,,10.0,13.0,0.769,0.0,0.0,10.0,13.0,0.769,0.769,3.0,6.0,0.5,6.0,4.0,10.0,1.0,0.0,0.0,0.0,2.0,23.0,22.0,9.0
