player_id,source_file_id,durability,durability_std,ROLE_mean,career_games,trajectory_stage,trajectory_factor,ROLE_mean_before_trajectory,ROLE_std,PTS_mean,PTS_std,REB_mean,REB_std,AST_mean,AST_std,STL_mean,STL_std,BLK_mean,BLK_std,TOV_mean,TOV_std,FG3M_mean,FG3M_std,PTS_per_role,REB_per_role,AST_per_role,STL_per_role,BLK_per_role,TOV_per_role,FG3M_per_role,FGA_per_role,FTA_per_role,FGA_mean,FGA_std,FGP_mean,FGP_std,FTA_mean,FTA_std,FTP_mean,FTP_std,source,train_seasons
Hunter Dickinson,dickihu01,14,8.0,6.232248,5.0,young_growth,1.098,5.676,6.013769799385407,2.5646400000000003,2.5195237645237643,1.0686,1.9918584287042087,0.42744000000000004,1.0285912696499033,0.21372000000000002,0.5142956348249517,0.42744000000000004,0.6298809411309411,0.6411600000000001,1.028591269649903,0.0,0.0,0.42283298097251587,0.1761804087385483,0.07047216349541931,0.035236081747709654,0.07047216349541931,0.10570824524312897,0.0,0.49330514446793516,0.07047216349541931,2.9920800000000005,3.392012676863103,0.35714285714285715,0.3462594490155886,0.42744000000000004,1.0285912696499033,1.0,0.0,nba_history,"2023,2024,2025,2026"
VJ Edgecombe,edgecvj01,74,8.0,29.462664000000004,75.0,young_growth,1.07,27.535200000000003,9.026702734993876,16.77001333333333,8.381712611770121,5.91636,2.756890139857452,4.405799999999999,2.739722810994039,1.4965733333333333,1.3915209774310378,0.54548,0.831858875765108,1.9161733333333333,1.4567757190094484,2.084013333333333,1.8182441287439133,0.5805901779056141,0.20482872831866117,0.15253203172666258,0.05181246791985046,0.01888491821377727,0.06633932808429452,0.07215007215007214,0.4987555323125792,0.08764538965881247,14.406266666666664,5.7727477960774545,0.4378640776699029,0.16338967779801605,2.5315866666666667,2.4070192025493777,0.8176795580110497,0.3033352389494482,nba_history,"2023,2024,2025,2026"
Tristan Enaruna,enarutr01,17,8.0,7.129036444444445,9.0,young_growth,1.0964,6.502222222222223,6.638163601478952,4.388528888888889,5.060145199936899,1.6605244444444445,1.0142046692414262,0.8302622222222222,1.1175991131786827,0.5930444444444445,1.1658628183071589,0.0,0.0,0.3558266666666666,0.575,0.3558266666666666,0.8131727983645296,0.6322624743677375,0.23923444976076555,0.11961722488038277,0.08544087491455912,0.0,0.05126452494873547,0.05126452494873547,0.4784688995215311,0.13670539986329458,3.321048888888889,1.8582772786762594,0.5,0.342959141138735,0.948871111111111,2.2597166734890557,0.75,0.5412658773652741,nba_history,"2023,2024,2025,2026"
Noa Essengue,essenno01,11,8.0,2.7479999999999998,2.0,young_growth,1.0992,2.5,2.545584412271571,0.0,0.0,0.0,0.0,0.0,0.0,0.53472,0.8131727983645296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,1.6041599999999998,0.8131727983645296,0.0,0.0,0.0,0.0,0.0,0.0,nba_history,"2023,2024,2025,2026"
Jeremiah Fears,fearsje01,79,8.0,25.707025951219507,82.0,young_growth,1.0672,24.088292682926827,10.222629677751968,14.9267043902439,8.473528154714442,3.8306341463414633,2.6324672972447223,3.562489756097561,2.2341735701830117,1.238571707317073,1.3895273600227276,0.3830634146341463,0.6883936938610538,2.2728429268292683,1.6443652474886623,1.2896468292682925,1.4148038924884754,0.5918268159818554,0.15188027783965494,0.1412486583908791,0.049107956501488435,0.015188027783965495,0.09011563151819527,0.05113302687268383,0.5093051983556429,0.12454182782851705,12.845393170731707,5.372896113530684,0.43439363817097415,0.1728761902119812,3.14112,3.1507004904063654,0.7886178861788617,0.28796199829819397,nba_history,"2023,2024,2025,2026"
Cooper Flagg,flaggco01,69,8.0,35.995922285714286,70.0,young_growth,1.072,33.57828571428571,11.002496406956611,22.10341714285714,11.141814740619488,6.992662857142857,2.9295538421892355,4.741805714285714,2.9481874980756433,1.26048,1.2005554270142353,0.9603657142857143,1.1203315835692829,2.41592,1.8506980664963515,1.0804114285714284,1.3418537284560597,0.6266805078111705,0.19825737721656853,0.13444062489363875,0.03573738130084068,0.02722848099111671,0.06849664749327797,0.030632041115006295,0.5079813484905211,0.14550219529627992,17.916822857142858,5.817555533121482,0.46817420435510887,0.1473560437179599,5.1319542857142855,4.367204619716849,0.8274853801169589,0.20847872434018355,nba_history,"2023,2024,2025,2026"
Rasheer Fleming,flemira01,56,8.0,8.290016000000001,55.0,young_growth,1.078,7.690181818181818,6.6961176775438425,4.563541818181819,4.695139868399916,2.377643636363637,2.385904172538939,0.30679272727272733,0.6883200649294713,0.4218400000000001,0.8161789927143116,0.4026654545454546,0.7821913016156804,0.5560618181818182,1.034634241395486,0.8628545454545455,1.1936983810476687,0.5627009646302251,0.293171931151882,0.03782863627766219,0.052014374881785515,0.04965008511443163,0.06856440325326273,0.10639303953092491,0.5083222999810857,0.08038585209003216,4.1225272727272735,3.29215218257996,0.4046511627906977,0.3021721227654608,0.6519345454545455,1.2997752978556811,0.5588235294117647,0.6206596697108137,nba_history,"2023,2024,2025,2026"
Andersson Garcia,garcian01,14,8.0,21.731616000000002,5.0,young_growth,1.098,19.792,5.4941551488832205,5.55672,1.889642823392823,8.97624,3.779285646785646,2.9920800000000005,2.4931405896980623,1.7097600000000002,1.3112017388640087,0.8548800000000001,0.9621590305141868,1.4960400000000003,1.3112017388640087,0.21372000000000002,0.5142956348249517,0.26273241713823764,0.42441390460792233,0.14147130153597412,0.08084074373484236,0.04042037186742118,0.07073565076798706,0.010105092966855295,0.29304769603880354,0.09094583670169765,6.1978800000000005,0.9621590305141868,0.3103448275862069,0.2322879525216371,1.92348,1.2597618822618821,0.7777777777777778,0.37470344322640464,nba_history,"2023,2024,2025,2026"
Myron Gardner,gardnmy01,48,8.0,7.5124462222222235,45.0,young_growth,1.082,6.9431111111111115,7.413173257482556,3.8301377777777783,4.1773581013687,2.8667288888888893,3.267647116315909,1.0339022222222223,1.5407208400845063,0.4699555555555557,0.9027035711537522,0.18798222222222224,0.5638566692292849,0.3994622222222222,0.7058861469991123,0.6109422222222223,0.9332629843617486,0.5217001664319549,0.39047497119446933,0.14082703879144795,0.06401229035974908,0.02560491614389963,0.05441044680578671,0.0832159774676738,0.3936755857124568,0.0832159774676738,2.8902266666666674,2.7782352148604885,0.4796747967479675,0.3673287682536814,0.6109422222222223,1.2133079417922563,0.7307692307692307,0.5544501247437883,nba_history,"2023,2024,2025,2026"
Keshon Gilbert,gilbeke01,13,8.0,14.163868,4.0,young_growth,1.0984,12.895,9.979159884479254,4.54274,5.505205869598944,1.3361,1.4470516000935603,3.20664,4.694855340334424,0.80166,1.1010411739197887,1.06888,1.6263455967290592,2.13776,1.8779421361337698,0.0,0.0,0.3295851105079488,0.09693679720822024,0.2326483132997286,0.05816207832493215,0.07754943776657619,0.15509887553315238,0.0,0.2326483132997286,0.13571151609150833,3.20664,3.8714768930387966,0.4166666666666667,0.3441420063230299,1.87054,2.3707857347301546,1.0,0.0,nba_history,"2023,2024,2025,2026"
