file,player,season,status
data\gamelogs\2023\plumlma01.csv,Mason Plumlee,2023,ok
data\gamelogs\2023\poeltja01.csv,Jakob Poeltl,2023,ok
data\gamelogs\2023\poolejo01.csv,Jordan Poole,2023,ok
data\gamelogs\2023\porteke01.csv,Kevin Porter Jr.,2023,ok
data\gamelogs\2023\portemi01.csv,Michael Porter Jr.,2023,ok
data\gamelogs\2023\portibo01.csv,Bobby Portis,2023,ok
data\gamelogs\2023\porzikr01.csv,Kristaps Porziņģis,2023,ok
data\gamelogs\2023\pottemi01.csv,Micah Potter,2023,ok
data\gamelogs\2023\poweldw01.csv,Dwight Powell,2023,ok
data\gamelogs\2023\powelno01.csv,Norman Powell,2023,ok
data\gamelogs\2023\princta01.csv,Taurean Prince,2023,ok
data\gamelogs\2023\pritcpa01.csv,Payton Pritchard,2023,ok
data\gamelogs\2023\queentr01.csv,Trevelin Queen,2023,ok
data\gamelogs\2023\quetane01.csv,Neemias Queta,2023,ok
data\gamelogs\2023\quickim01.csv,Immanuel Quickley,2023,ok
data\gamelogs\2023\quinole01.csv,Lester Quiñones,2023,ok
data\gamelogs\2023\randlju01.csv,Julius Randle,2023,ok
data\gamelogs\2023\reaveau01.csv,Austin Reaves,2023,ok
data\gamelogs\2023\reddica01.csv,Cam Reddish,2023,ok
data\gamelogs\2023\reedpa01.csv,Paul Reed,2023,ok
data\gamelogs\2023\reidna01.csv,Naz Reid,2023,ok
data\gamelogs\2023\rhodeja01.csv,Jared Rhoden,2023,ok
data\gamelogs\2023\richajo01.csv,Josh Richardson,2023,ok
data\gamelogs\2023\richani01.csv,Nick Richards,2023,ok
data\gamelogs\2023\robindu01.csv,Duncan Robinson,2023,ok
data\gamelogs\2023\robinje01.csv,Jeremiah Robinson-Earl,2023,ok
data\gamelogs\2023\robinmi01.csv,Mitchell Robinson,2023,ok
data\gamelogs\2023\robinor01.csv,Orlando Robinson,2023,ok
data\gamelogs\2023\roddyda01.csv,David Roddy,2023,ok
data\gamelogs\2023\rolliry01.csv,Ryan Rollins,2023,ok
data\gamelogs\2023\roziete01.csv,Terry Rozier,2023,ok
data\gamelogs\2023\russeda01.csv,D'Angelo Russell,2023,ok
data\gamelogs\2023\ryanma01.csv,Matt Ryan,2023,ok
data\gamelogs\2023\sabondo01.csv,Domantas Sabonis,2023,ok
data\gamelogs\2023\saricda01.csv,Dario Šarić,2023,ok
data\gamelogs\2023\sarrol01.csv,Olivier Sarr,2023,ok
data\gamelogs\2023\schrode01.csv,Dennis Schröder,2023,ok
data\gamelogs\2023\sengual01.csv,Alperen Şengün,2023,ok
data\gamelogs\2023\sextoco01.csv,Collin Sexton,2023,ok
data\gamelogs\2023\shamela01.csv,Landry Shamet,2023,ok
data\gamelogs\2023\sharpda01.csv,Day'Ron Sharpe,2023,ok
data\gamelogs\2023\sharpsh01.csv,Shaedon Sharpe,2023,ok
data\gamelogs\2023\siakapa01.csv,Pascal Siakam,2023,ok
data\gamelogs\2023\simmobe01.csv,Ben Simmons,2023,ok
data\gamelogs\2023\simonan01.csv,Anfernee Simons,2023,ok
data\gamelogs\2023\simsje01.csv,Jericho Sims,2023,ok
data\gamelogs\2023\smartma01.csv,Marcus Smart,2023,ok
data\gamelogs\2023\smithdr01.csv,Dru Smith,2023,ok
data\gamelogs\2023\smithja04.csv,Jalen Smith,2023,ok
data\gamelogs\2023\sochaje01.csv,Jeremy Sochan,2023,ok
data\gamelogs\2023\sprinja01.csv,Jaden Springer,2023,ok
data\gamelogs\2023\stevela01.csv,Lamar Stevens,2023,ok
data\gamelogs\2023\stewais01.csv,Isaiah Stewart,2023,ok
data\gamelogs\2023\strusma01.csv,Max Strus,2023,ok
