player,season,old_url,new_url
Vít Krejčí,2023,https://www.basketball-reference.com/players/k/krejvt01/gamelog/2023,https://www.basketball-reference.com/players/k/krejcvi01/gamelog/2023
Jabari Smith Jr.,2023,https://www.basketball-reference.com/players/s/smithja01/gamelog/2023,https://www.basketball-reference.com/players/s/smithja04/gamelog/2023
Trey Murphy III,2025,https://www.basketball-reference.com/players/m/murphtr01/gamelog/2025,https://www.basketball-reference.com/players/m/murphtr02/gamelog/2025
Colby Jones,2025,https://www.basketball-reference.com/players/j/jonesco01/gamelog/2025,https://www.basketball-reference.com/players/j/jonesco02/gamelog/2025
Jeff Green,2024,https://www.basketball-reference.com/players/g/greenje01/gamelog/2024,https://www.basketball-reference.com/players/g/greenje02/gamelog/2024
Brandon Williams,2026,https://www.basketball-reference.com/players/w/willibr01/gamelog/2026,https://www.basketball-reference.com/players/w/willibr03/gamelog/2026
Jeremiah Robinson-Earl,2023,https://www.basketball-reference.com/players/r/robinje01/gamelog/2023,https://www.basketball-reference.com/players/r/robinje02/gamelog/2023
Elijah Harkless,2026,https://www.basketball-reference.com/players/h/harklel01/gamelog/2026,https://www.basketball-reference.com/players/h/harklej01/gamelog/2026
Jaylin Williams,2024,https://www.basketball-reference.com/players/w/willija01/gamelog/2024,https://www.basketball-reference.com/players/w/willija07/gamelog/2024
Colby Jones,2026,https://www.basketball-reference.com/players/j/jonesco01/gamelog/2026,https://www.basketball-reference.com/players/j/jonesco02/gamelog/2026
Max Christie,2026,https://www.basketball-reference.com/players/c/chrisma01/gamelog/2026,https://www.basketball-reference.com/players/c/chrisma02/gamelog/2026
Jalen Green,2025,https://www.basketball-reference.com/players/g/greenja01/gamelog/2025,https://www.basketball-reference.com/players/g/greenja02/gamelog/2025
Nikola Vučević,2024,https://www.basketball-reference.com/players/v/vuevini01/gamelog/2024,https://www.basketball-reference.com/players/v/vucevni01/gamelog/2024
Anthony Davis,2026,https://www.basketball-reference.com/players/d/davisan01/gamelog/2026,https://www.basketball-reference.com/players/d/davisan02/gamelog/2026
Derrick Jones Jr.,2023,https://www.basketball-reference.com/players/j/jonesde01/gamelog/2023,https://www.basketball-reference.com/players/j/jonesde02/gamelog/2023
Kevin Porter Jr.,2023,https://www.basketball-reference.com/players/p/porteke01/gamelog/2023,https://www.basketball-reference.com/players/p/porteke02/gamelog/2023
